Measurement time:; 07/09/2022 19:11:32;;;;
Radiation device:; Clinac3 Accelerator;;;;
Energy:; 12 MeV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; ROOS;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 60 x 60 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;5,9;111,05;615898,1;91,8
0;0;4,7;102,53;568605;91,24
0;0;3,4;104,96;582124,9;90,32
0;0;2,2;106,69;591694,5;89,39
0;0;1;103,03;571415,8;88,91
0;0;-0,5;102,25;567082;89,05
;;;;;
;;;;;
Measurement time:; 07/09/2022 19:20:05;;;;
Radiation device:; Clinac3 Accelerator;;;;
Energy:; 12 MeV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; ROOS;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 200 x 200 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;150;1,56;8659;1,33
0;0;149,3;1,36;7548,3;1,28
0;0;147,9;1,34;7443,5;1,29
0;0;146,7;1,37;7609,6;1,29
0;0;145,5;1,39;7716,1;1,31
0;0;144,3;1,4;7791,9;1,32
0;0;143,1;1,41;7815,7;1,32
0;0;141,9;1,42;7861,9;1,33
0;0;140,7;1,45;8020,1;1,35
0;0;139,5;1,43;7956,9;1,35
0;0;138,3;1,42;7896,4;1,36
0;0;137,1;1,46;8103,8;1,37
0;0;135,9;1,47;8128,6;1,38
0;0;134,7;1,49;8287,8;1,4
0;0;133,5;1,48;8208,2;1,4
0;0;132,3;1,49;8281;1,4
0;0;131,1;1,52;8426,9;1,42
0;0;129,9;1,51;8368,9;1,43
0;0;128,7;1,55;8578,6;1,44
0;0;127,5;1,53;8504,7;1,44
0;0;126,3;1,56;8638,6;1,46
0;0;125,1;1,56;8674,3;1,47
0;0;123,9;1,57;8711,4;1,47
0;0;122,7;1,58;8742,9;1,47
0;0;121,5;1,58;8772,4;1,49
0;0;120,3;1,59;8808;1,49
0;0;119,1;1,61;8932,1;1,5
0;0;117,9;1,61;8907,3;1,51
0;0;116,7;1,62;8975,1;1,52
0;0;115,5;1,62;8995,9;1,54
0;0;114,3;1,67;9254,3;1,56
0;0;113,1;1,65;9150,3;1,56
0;0;111,9;1,67;9286;1,58
0;0;110,7;1,69;9369,8;1,6
0;0;109,5;1,7;9442,3;1,61
0;0;108,3;1,7;9434,2;1,61
0;0;107,1;1,7;9417,5;1,61
0;0;105,8;1,71;9492;1,63
0;0;104,7;1,75;9693;1,65
0;0;103,5;1,75;9687,8;1,66
0;0;102,3;1,76;9768;1,67
0;0;101,1;1,76;9785,2;1,68
0;0;99,9;1,78;9881,1;1,69
0;0;98,7;1,8;10001,1;1,71
0;0;97,5;1,81;10051,9;1,73
0;0;96,3;1,84;10207,8;1,75
0;0;95,1;1,83;10158,8;1,74
0;0;93,9;1,86;10319,5;1,77
0;0;92,6;1,85;10235,2;1,75
0;0;91,4;1,87;10378,6;1,78
0;0;90,2;1,89;10503,2;1,8
0;0;89;1,89;10461,1;1,81
0;0;87,8;1,92;10636,7;1,81
0;0;86,6;1,91;10586,1;1,83
0;0;85,4;1,97;10919,1;1,85
0;0;84,2;1,95;10789,3;1,85
0;0;83;1,96;10855;1,88
0;0;81,8;1,99;11033,8;1,88
0;0;80,6;2,04;11321,6;1,92
0;0;79,4;1,99;11041,1;1,92
0;0;78,2;2,01;11125,3;1,92
0;0;77;2,12;11736,5;1,97
0;0;75,8;2,02;11223,2;1,96
0;0;74,6;2,02;11196,9;1,94
0;0;73,4;2,16;11956,9;2
0;0;72,2;2,1;11619,6;2,01
0;0;71;2,15;11903;2,03
0;0;69,7;2,24;12426,3;2,09
0;0;68,5;2,24;12401;2,17
0;0;67,3;2,57;14274,8;2,42
0;0;66,1;2,94;16312,9;2,78
0;0;64,9;3,39;18825,5;3,36
0;0;63,7;4,68;25969,1;4,44
0;0;62,5;6,04;33471,4;5,65
0;0;61,3;7,87;43642,8;7,77
0;0;60,1;10,67;59188;10,21
0;0;58,9;14,07;78040,4;13,16
0;0;57,7;17,48;96950,3;17,25
0;0;56,5;22,12;122648,4;21,17
0;0;55,3;27,67;153467,4;25,89
0;0;54,1;32,42;179777;31,18
0;0;52,9;36,52;202561,4;36,06
0;0;51,7;45,26;251005,1;42,02
0;0;50,5;49,81;276229,8;47,59
0;0;49,3;53,69;297733;53,1
0;0;48;64,32;356698,2;58,83
0;0;46,9;68,14;377921,3;64,19
0;0;45,6;70,6;391565,4;68,84
0;0;44,4;82,15;455591,1;73,91
0;0;43,2;79,43;440493,3;78,04
0;0;42;88,02;488150,9;81,68
0;0;40,8;95,58;530076,6;85,33
0;0;39,6;91,23;505928,1;88,33
0;0;38,4;97,89;542906,6;90,91
0;0;37,2;105,15;583156,8;93,1
0;0;36;98,48;546138,2;95,03
0;0;34,8;104,65;580362,1;96,35
0;0;33,6;111,27;617074,8;97,64
0;0;32,4;106,68;591661,8;98,54
0;0;31,1;104;576769,4;99,29
0;0;30;114,03;632415,2;99,68
0;0;28,7;109,8;608915,1;99,85
0;0;27,5;106,57;591028,3;100
0;0;26,3;113,49;629421;99,85
0;0;25,1;108,24;600300,5;99,71
0;0;23,9;111,65;619218,5;99,38
0;0;22,7;115,07;638145,3;99,13
0;0;21,5;106,83;592483,7;98,81
0;0;20,3;110,17;610992,4;98,45
0;0;19,1;114,58;635463,7;98,08
0;0;17,9;106,48;590499,7;97,71
0;0;16,7;109,43;606892,4;97,18
0;0;15,5;114,4;634440,1;96,96
0;0;14,3;106,32;589620,3;96,48
0;0;13,1;108,44;601414,7;96,08
0;0;11,9;113,98;632143,4;95,75
0;0;10,7;104,48;579411,1;95,37
0;0;9,5;108,13;599675,3;94,7
0;0;8,3;111,98;621035,6;94,22
0;0;7;103,92;576327,4;93,9
0;0;5,9;107,63;596889,9;93,33
0;0;4,7;110,54;613026,7;92,41
0;0;3,4;101,49;562873,5;91,96
0;0;2,2;105,82;586867,2;91
0;0;1;107,99;598912,6;90,56
0;0;-0,5;103,44;573652,5;90,65
