-2,8; 0,0; 100,0; 36,99; 27766,3; 36,94
-2,6; 0,0; 100,0; 42,10; 31598,6; 42,06
-2,6; 0,0; 100,0; 44,05; 33063,0; 43,97
-2,5; 0,0; 100,0; 47,13; 35374,1; 47,11
-2,4; 0,0; 100,0; 50,72; 38072,8; 50,60
-2,2; 0,0; 100,0; 56,22; 42201,8; 56,10
-2,1; 0,0; 100,0; 58,55; 43952,4; 58,44
-2,1; 0,0; 100,0; 61,34; 46047,9; 61,29
-1,9; 0,0; 100,0; 65,94; 49493,6; 65,82
-1,8; 0,0; 100,0; 68,78; 51626,4; 68,74
-1,7; 0,0; 100,0; 75,14; 56399,4; 75,11
-1,6; 0,0; 100,0; 76,32; 57285,7; 76,24
-1,6; 0,0; 100,0; 78,07; 58602,6; 78,04
-1,4; 0,0; 100,0; 82,79; 62142,4; 82,72
-1,3; 0,0; 100,0; 83,73; 62853,9; 83,68
-1,3; 0,0; 100,0; 85,83; 64428,2; 85,79
-1,1; 0,0; 100,0; 88,57; 66481,6; 88,46
-1,0; 0,0; 100,0; 92,14; 69165,0; 91,99
-0,9; 0,0; 100,0; 92,75; 69623,6; 92,66
-0,9; 0,0; 100,0; 93,35; 70073,3; 93,31
-0,7; 0,0; 100,0; 95,91; 71991,2; 95,82
-0,6; 0,0; 100,0; 96,46; 72406,2; 96,39
-0,6; 0,0; 100,0; 97,25; 73001,8; 97,12
-0,5; 0,0; 100,0; 98,22; 73730,1; 98,25
-0,3; 0,0; 100,0; 99,36; 74579,8; 99,19
-0,2; 0,0; 100,0; 99,60; 74760,3; 99,56
-0,2; 0,0; 100,0; 99,67; 74817,6; 99,58
0,0; 0,0; 100,0; 100,06; 75111,7; 99,79
0,0; 0,0; 100,0; 99,85; 74954,1; 99,80
0,2; 0,0; 100,0; 99,75; 74878,4; 99,54
0,3; 0,0; 100,0; 99,62; 74779,9; 99,63
0,3; 0,0; 100,0; 99,26; 74505,6; 99,21
0,4; 0,0; 100,0; 98,62; 74025,2; 98,56
0,5; 0,0; 100,0; 98,05; 73597,0; 97,99
0,6; 0,0; 100,0; 97,24; 72994,3; 97,23
0,7; 0,0; 100,0; 96,02; 72074,8; 95,96
0,8; 0,0; 100,0; 95,00; 71308,8; 94,97
0,9; 0,0; 100,0; 93,08; 69867,6; 92,96
1,0; 0,0; 100,0; 91,36; 68576,5; 91,29
1,1; 0,0; 100,0; 89,51; 67191,3; 89,47
1,2; 0,0; 100,0; 87,13; 65401,9; 86,99
1,3; 0,0; 100,0; 84,71; 63584,4; 84,71
1,4; 0,0; 100,0; 82,15; 61667,2; 82,08
1,5; 0,0; 100,0; 79,30; 59526,6; 79,25
1,6; 0,0; 100,0; 76,30; 57276,3; 76,20
1,7; 0,0; 100,0; 73,12; 54888,2; 73,03
1,8; 0,0; 100,0; 70,08; 52606,5; 70,04
1,9; 0,0; 100,0; 66,59; 49986,5; 66,51
2,0; 0,0; 100,0; 62,81; 47144,4; 62,74
2,1; 0,0; 100,0; 58,94; 44244,8; 58,92
2,3; 0,0; 100,0; 54,69; 41051,3; 54,66
2,3; 0,0; 100,0; 51,39; 38574,3; 51,33
2,5; 0,0; 100,0; 46,12; 34622,2; 46,06
2,5; 0,0; 100,0; 44,22; 33195,7; 44,19
2,7; 0,0; 100,0; 38,82; 29140,1; 38,81
2,7; 0,0; 100,0; 37,38; 28060,9; 37,35
2,9; 0,0; 100,0; 30,87; 23172,8; 30,90
3,0; 0,0; 100,0; 30,04; 22549,0; 30,04
3,0; 0,0; 100,0; 28,24; 21200,1; 28,22
3,2; 0,0; 100,0; 23,05; 17302,7; 23,02
3,3; 0,0; 100,0; 22,61; 16970,4; 22,57
3,3; 0,0; 100,0; 21,26; 15960,3; 21,25
3,5; 0,0; 100,0; 18,21; 13667,1; 18,18
3,7; 0,0; 100,0; 15,43; 11583,8; 15,42
3,7; 0,0; 100,0; 15,02; 11278,3; 15,01
3,7; 0,0; 100,0; 14,44; 10842,3; 14,42
3,9; 0,0; 100,0; 12,79; 9601,2; 12,78
4,0; 0,0; 100,0; 12,10; 9080,4; 12,10
4,1; 0,0; 100,0; 10,18; 7642,5; 10,17
4,2; 0,0; 100,0; 9,98; 7492,2; 9,97
4,2; 0,0; 100,0; 9,56; 7179,2; 9,55
4,4; 0,0; 100,0; 8,38; 6293,1; 8,38
4,5; 0,0; 100,0; 7,69; 5770,4; 7,67
4,6; 0,0; 100,0; 7,49; 5625,2; 7,49
4,6; 0,0; 100,0; 7,16; 5375,9; 7,16
4,7; 0,0; 100,0; 6,65; 4991,0; 6,65
4,8; 0,0; 100,0; 6,17; 4631,7; 6,17
5,0; 0,0; 100,0; 5,63; 4228,6; 5,63
5,0; 0,0; 100,0; 5,49; 4124,6; 5,49
5,1; 0,0; 100,0; 5,12; 3839,5; 5,11
5,2; 0,0; 100,0; 4,78; 3590,1; 4,78
5,4; 0,0; 100,0; 4,59; 3445,8; 4,59
5,5; 0,0; 100,0; 4,26; 3199,3; 4,26
5,6; 0,0; 100,0; 4,12; 3094,5; 4,12
5,7; 0,0; 100,0; 3,85; 2892,9; 3,85
5,8; 0,0; 100,0; 3,66; 2745,7; 3,65
6,0; 0,0; 100,0; 3,28; 2460,7; 3,28
6,0; 0,0; 100,0; 3,28; 2460,8; 3,28
6,1; 0,0; 100,0; 3,09; 2321,3; 3,09
6,1; 0,0; 100,0; 3,03; 2272,4; 3,03
6,3; 0,0; 100,0; 2,86; 2145,8; 2,86
6,4; 0,0; 100,0; 2,69; 2016,8; 2,68
6,5; 0,0; 100,0; 2,61; 1960,8; 2,61
6,6; 0,0; 100,0; 2,46; 1843,8; 2,45
6,6; 0,0; 100,0; 2,41; 1811,4; 2,41
6,8; 0,0; 100,0; 2,29; 1719,3; 2,29
6,9; 0,0; 100,0; 2,21; 1658,2; 2,21
7,0; 0,0; 100,0; 2,10; 1577,0; 2,10
7,0; 0,0; 100,0; 2,07; 1552,9; 2,07
7,2; 0,0; 100,0; 1,94; 1458,5; 1,94
7,2; 0,0; 100,0; 1,90; 1427,5; 1,90
7,3; 0,0; 100,0; 1,83; 1375,4; 1,83
7,5; 0,0; 100,0; 1,74; 1303,8; 1,73
7,6; 0,0; 100,0; 1,67; 1254,6; 1,67
7,7; 0,0; 100,0; 1,65; 1235,9; 1,65
7,8; 0,0; 100,0; 1,57; 1179,5; 1,57
7,9; 0,0; 100,0; 1,52; 1140,5; 1,52
7,9; 0,0; 100,0; 1,50; 1129,1; 1,50
8,1; 0,0; 100,0; 1,41; 1059,7; 1,41
8,1; 0,0; 100,0; 1,42; 1066,9; 1,42
8,3; 0,0; 100,0; 1,35; 1014,7; 1,35
8,3; 0,0; 100,0; 1,34; 1008,2; 1,34
8,4; 0,0; 100,0; 1,29; 969,4; 1,29
8,6; 0,0; 100,0; 1,22; 918,9; 1,22
8,6; 0,0; 100,0; 1,24; 931,3; 1,24
8,8; 0,0; 100,0; 1,20; 899,5; 1,20
8,9; 0,0; 100,0; 1,16; 867,6; 1,15
9,0; 0,0; 100,0; 1,14; 853,3; 1,14


Measurement time:; 14/05/2024 20:56:51
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 250,0; 17,76; 26114,3; 17,77
0,0; 0,0; 247,0; 18,19; 26738,1; 18,17
0,0; 0,0; 244,0; 18,52; 27224,3; 18,53
0,0; 0,0; 241,0; 18,95; 27864,6; 18,97
0,0; 0,0; 238,0; 19,32; 28398,3; 19,33
0,0; 0,0; 235,0; 19,77; 29069,0; 19,78
0,0; 0,0; 232,0; 20,11; 29558,1; 20,12
0,0; 0,0; 229,0; 20,53; 30175,2; 20,52
0,0; 0,0; 226,0; 20,92; 30748,6; 20,90
0,0; 0,0; 223,0; 21,37; 31414,1; 21,38
0,0; 0,0; 220,0; 21,79; 32031,6; 21,82
0,0; 0,0; 217,0; 22,29; 32774,0; 22,26
