Measurement time:; 02/08/2022 19:51:44;;;;;
Radiation device:; Novalis TB Accelerator;;;;;
Energy:; 6 MV ;;;;;
Controller:; CCU;;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;
Field detector:; CC 13 -  F;;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;
SAD:; 1000 mm;;;;;
SSD:; 900 mm;;;;;
Field size:; 100 x 100 mm;;;;;
Gantry angle:;0;;;;;
Measurement medium:; Water;;;;;
Scan type:; Beam;;;;;
Scan mode:; Continuous;;;;;
Wedge:; none;;;;;
;;;;;;
Points [mm]:;;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;Dose relative (%)
0;0;209;53,89;78231,7;37,65;37,74602508
0;0;207,8;54,17;78640,7;37,89;37,94214471
0;0;206,6;54,43;79021,9;38,07;38,1242558
0;0;205,4;54,96;79783;38,43;38,49548224
0;0;204,2;55,36;80377,2;38,71;38,77565315
0;0;203;55,56;80654,1;38,88;38,9157386
0;0;201,8;56,02;81330,8;39,09;39,23793514
0;0;200,6;56,37;81838,6;39,44;39,48308468
0;0;199,4;56,56;82117,4;39,56;39,61616586
0;0;198,2;57,01;82772,7;39,89;39,93135813
0;0;197;57,56;83560,4;40,22;40,31659312
0;0;195,7;57,86;84005,1;40,47;40,5267213
0;0;194,6;58,22;84520,3;40,75;40,77887511
0;0;193,4;58,7;85223,9;41,06;41,1150802
0;0;192,1;59,14;85858,4;41,4;41,42326819
0;0;191;59,29;86078;41,51;41,52833228
0;0;189,7;59,81;86835,1;41,77;41,89255446
0;0;188,5;60,05;87183;42;42,060657
0;0;187,3;60,52;87856,2;42,33;42,38985781
0;0;186,1;60,98;88522,9;42,69;42,71205435
0;0;184,9;61,29;88984,4;42,89;42,9291868
0;0;183,7;61,65;89495,5;43,12;43,18134062
0;0;182,5;62,18;90271,8;43,46;43,55256707
0;0;181,3;62,58;90849,3;43,75;43,83273797
0;0;180,1;62,82;91196,6;43,91;44,00084051
0;0;178,9;63,45;92117,6;44,32;44,44210969
0;0;177,7;63,93;92817,5;44,69;44,77831477
0;0;176,5;64,09;93043,7;44,74;44,89038313
0;0;175,3;64,58;93753,6;45,18;45,23359249
0;0;174,1;65,1;94518,1;45,43;45,59781467
0;0;172,9;65,42;94981,8;45,72;45,82195139
0;0;171,6;65,97;95772,7;46,11;46,20718638
0;0;170,5;66,49;96523,8;46,46;46,57140856
0;0;169,3;66,77;96939,1;46,65;46,76752819
0;0;168;67,09;97401,8;46,93;46,99166492
0;0;166,8;67,68;98253,1;47,29;47,404917
0;0;165,6;68,08;98843,3;47,58;47,6850879
0;0;164,5;68,66;99681,1;48,05;48,09133571
0;0;163,2;69,06;100257,9;48,32;48,37150662
0;0;162;69,45;100823,8;48,53;48,64467325
0;0;160,8;69,91;101496,9;48,86;48,96686979
0;0;159,6;70,25;101986,5;49,11;49,20501506
0;0;158,4;70,99;103061,5;49,71;49,72333123
0;0;157,2;71,32;103534,8;49,94;49,95447223
0;0;156;71,86;104330,6;50,23;50,33270295
0;0;154,8;72,22;104842,6;50,53;50,58485676
0;0;153,6;72,61;105414,4;50,73;50,85802339
0;0;152,4;73,01;106002;51,04;51,1381943
0;0;151,2;73,82;107168,7;51,58;51,70554038
0;0;150;74,12;107605,2;51,81;51,91566856
0;0;148,8;74,67;108405;52,23;52,30090355
0;0;147,6;74,99;108869,6;52,4;52,52504027
