Measurement time:; 04/09/2023 15:55:31;;;;;;Measurement time:; 04/09/2023 15:59:24;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Beam;;;;;;Scan type:; Beam;;;;
Scan mode:; Continuous;;RP avec chambre de ref;;;;Scan mode:; Continuous;;RP sans chambre de ref;;
Wedge:; none;;;;;;Wedge:; none;;;;
;;;;;;;;;;;;
Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;136,9;1197,41;134273,5;53,82;;0;0;136,9;261,5;134633,8;43,02
0;0;135,7;1201,59;134742,8;54,16;;0;0;135,7;263,03;135422,6;41,71
0;0;134,5;1212,67;135985,2;54,59;;0;0;134,5;264,94;136407,4;46,9
0;0;133,3;1222,77;137117;55,01;;0;0;133,3;266,82;137375,5;44,69
0;0;132,1;1233,8;138354,6;55,41;;0;0;132,1;267,86;137910,6;46,16
0;0;130,9;1240,04;139054,2;55,74;;0;0;130,9;269,8;138907,8;52,4
0;0;129,7;1244,52;139557;56,07;;0;0;129,7;271,59;139827,7;47,51
0;0;128,5;1255,18;140752,4;56,46;;0;0;128,5;274,76;141458,8;46,22
0;0;127,3;1259,6;141247,3;56,81;;0;0;127,2;275,43;141806,7;45,54
0;0;126,1;1275,46;143025,8;57,37;;0;0;126,1;277,39;142813,6;45,7
0;0;124,9;1280,34;143573,1;57,79;;0;0;124,8;278,5;143388,9;45,27
0;0;123,7;1292,04;144885,6;58,1;;0;0;123,7;281,19;144769,5;46,78
0;0;122,4;1297,52;145499,8;58,47;;0;0;122,5;283,6;146011,1;51,87
0;0;121,2;1309,87;146885,1;58,87;;0;0;121,3;284,8;146628;53,23
0;0;120;1314,61;147415,9;59,23;;0;0;120;286,44;147473,1;55,53
0;0;118,8;1324,47;148521,4;59,5;;0;0;118,8;289,52;149058,4;50,4
0;0;117,6;1328,54;148977,9;59,78;;0;0;117,6;290,96;149801,2;55,18
0;0;116,4;1342,04;150492,3;60,38;;0;0;116,4;292,82;150762;55,18
0;0;115,2;1353,4;151765,6;60,91;;0;0;115,2;295,08;151921,2;55,81
0;0;114;1362,39;152774,6;61,3;;0;0;114;295,96;152375,2;51,18
0;0;112,8;1370,16;153645,3;61,69;;0;0;112,8;298,1;153476,8;46,36
0;0;111,6;1378,06;154531,5;62,12;;0;0;111,6;301;154973,5;55,07
0;0;110,4;1392,1;156105,3;62,49;;0;0;110,4;301,74;155352,5;57,04
0;0;109,2;1397,49;156710,4;62,92;;0;0;109,2;304,19;156612,2;59,85
0;0;108;1403,46;157379,1;63,22;;0;0;108;306,49;157798,3;58,35
0;0;106,8;1416,79;158874,6;63,65;;0;0;106,8;308,84;159007,6;59,53
0;0;105,6;1422,61;159526,6;64,06;;0;0;105,6;310,72;159977,5;53,25
0;0;104,4;1434,67;160878,8;64,54;;0;0;104,3;312,69;160987,4;62,48
0;0;103,2;1441,97;161698,1;64,94;;0;0;103,1;315,15;162258;52,46
0;0;102;1453,5;162990,4;65,58;;0;0;102;316,22;162805;49,81
0;0;100,7;1466,67;164467,3;65,97;;0;0;100,7;318,99;164231,6;49,71
0;0;99,5;1470,24;164868,2;66,36;;0;0;99,6;319,83;164666,7;56,1
0;0;98,3;1486,51;166692,5;66,84;;0;0;98,3;321,03;165282,1;53,68
0;0;97,1;1492,93;167412,6;67,24;;0;0;97,1;324,46;167049,8;54,68
0;0;95,9;1500,06;168212,3;67,53;;0;0;95,9;327,18;168450,8;49,01
0;0;94,7;1511,6;169506,2;68,19;;0;0;94,7;329,97;169886,3;51,69
0;0;93,5;1521,71;170639,9;68,45;;0;0;93,5;331,69;170774;51,48
0;0;92,3;1528,77;171430,9;68,85;;0;0;92,3;333,71;171811,6;56,18
0;0;91,1;1542,29;172947;69,21;;0;0;91,1;335,59;172780,5;61,3
0;0;89,9;1552,3;174069,5;69,91;;0;0;89,9;338,04;174039,5;60,01
0;0;88,6;1564,8;175471,5;70,22;;0;0;88,7;339,42;174751,3;54,67
0;0;87,5;1570,68;176131,2;70,69;;0;0;87,4;342,46;176318;57,38
0;0;86,2;1582,53;177459,7;71,14;;0;0;86,2;344,59;177415,8;60,47
0;0;85;1593,14;178649,5;71,62;;0;0;85;346,65;178474,5;60,47
0;0;83,8;1599,96;179414,3;72,08;;0;0;83,8;349,6;179994,5;54,64
0;0;82,6;1617,17;181344,5;72,77;;0;0;82,6;351,65;181050,5;51,87
0;0;81,4;1621,1;181784,8;73,1;;0;0;81,4;352,26;181359,9;57,93
0;0;80,2;1631,52;182953,9;73,48;;0;0;80,2;355,78;183174,9;57,58
0;0;78,9;1647,24;184716,5;74,03;;0;0;79;358,67;184661;54,9
0;0;77,8;1657,39;185854,6;74,48;;0;0;77,8;360,64;185676,3;61,69
0;0;76,5;1667,09;186942,2;75,02;;0;0;76,5;362,3;186533,3;69,95
0;0;75,4;1674,79;187805,5;75,45;;0;0;75,3;363,88;187343;72,89
0;0;74,1;1688,83;189379,7;75,93;;0;0;74,1;367,73;189328,9;72,38
0;0;72,9;1697,92;190399,3;76,51;;0;0;72,9;368,96;189961,2;61,36
0;0;71,7;1707,24;191444,8;76,94;;0;0;71,7;372,36;191713,1;67,75
0;0;70,5;1718,09;192661,3;77,4;;0;0;70,5;374,79;192960,6;71,03
0;0;69,3;1729,53;193943,9;77,78;;0;0;69,3;376,45;193817,7;70,79
0;0;68,1;1739,69;195083,2;78,39;;0;0;68,1;379,38;195327;75,62
0;0;66,9;1747,95;196009,9;78,7;;0;0;66,8;381,81;196578,7;76,02
0;0;65,7;1761,47;197525,1;79,35;;0;0;65,7;383,19;197285,8;65,51
0;0;64,5;1774,74;199013,4;79,86;;0;0;64,5;386,65;199069,9;70,64
0;0;63,2;1781,56;199778,8;80,1;;0;0;63,2;388,24;199886,6;76,52
0;0;62;1796,9;201498,3;80,82;;0;0;62;390,81;201211,7;75,8
0;0;60,8;1805,65;202480,1;81,17;;0;0;60,8;393,24;202461,8;82,27
0;0;59,6;1818,3;203898,5;81,66;;0;0;59,6;395,68;203718,1;73,22
0;0;58,4;1827,84;204967,6;82,28;;0;0;58,4;398,38;205109,1;63,71
0;0;57,2;1833,29;205579,6;82,73;;0;0;57,1;400,94;206423,7;65,69
0;0;56;1848,91;207331,2;83,26;;0;0;55,9;403,67;207833;72,14
0;0;54,8;1861,09;208696,9;83,69;;0;0;54,7;405,91;208983,7;73,48
0;0;53,6;1869,08;209592,5;84,24;;0;0;53,5;407,42;209761,9;64,34
0;0;52,3;1882,8;211131,1;84,85;;0;0;52,3;408,55;210344,2;65,64
0;0;51,2;1896,39;212654,6;85,39;;0;0;51,1;411,6;211911,8;71,36
0;0;49,9;1903,94;213501,9;85,69;;0;0;49,9;415,43;213884,6;73,78
0;0;48,7;1917,05;214971,4;86,21;;0;0;48,6;418,37;215400,5;79,86
0;0;47,5;1924,13;215766,3;86,69;;0;0;47,4;420,78;216638,4;76,38
0;0;46,3;1936,97;217206,1;87,44;;0;0;46,2;424,21;218404;72,71
0;0;45;1953,64;219074,8;88,01;;0;0;45;425,06;218844,1;66,08
0;0;43,8;1963,41;220170,3;88,26;;0;0;43,8;426,82;219749,8;75,33
0;0;42,6;1975,44;221519,4;88,72;;0;0;42,6;431,32;222064,6;74,41
0;0;41,4;1983,78;222454,4;89,27;;0;0;41,4;432,18;222511;74,05
0;0;40,2;2002,51;224554,9;89,81;;0;0;40,1;435,63;224285,2;81,94
0;0;39;2008,5;225226,4;90,42;;0;0;38,9;437,48;225239;65,14
0;0;37,7;2023,55;226914,4;90,96;;0;0;37,7;440,95;227026;74,9
0;0;36,5;2031,22;227774,5;91,31;;0;0;36,5;442,08;227605,7;88,79
