Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;7;100;3672,43;223993,2;100,47;;0;0;169,6;2445,58;149163,9;42,89;;0;20,5;100;2255,12;137547,1;99,82;;0;0;169,6;1552,57;94696,2;46,13
0;5,8;100;3665,24;223554,4;100,37;;0;0;168,4;2462,93;150222,2;43,19;;0;21,7;100;2263,77;138074,7;99,92;;0;0;168,4;1565,09;95459,6;46,44
0;4,6;100;3667,62;223699,6;100,29;;0;0;167,1;2480,97;151322,5;43,68;;0;22,9;100;2261,11;137912,3;99,93;;0;0;167,2;1578,32;96267;46,8
0;3,5;100;3665,77;223587,3;99,99;;0;0;166;2500,07;152487,3;43,78;;0;24,1;100;2258,03;137724,2;99,84;;0;0;166;1579,53;96340,8;47,02
0;2,2;100;3676;224211;100,07;;0;0;164,8;2509,63;153070,3;44,11;;0;25,3;100;2257,02;137662,8;99,75;;0;0;164,8;1597,88;97459,6;47,51
0;1;100;3661,54;223329,3;100,29;;0;0;163,6;2525,75;154053,5;44,27;;0;26,5;100;2250,15;137243,7;99,35;;0;0;163,6;1605,78;97941,6;47,74
0;-0,2;100;3658,08;223117,8;100,01;;0;0;162,4;2547,95;155407,4;44,7;;0;27,7;100;2241,97;136744,6;99,08;;0;0;162,4;1619,51;98779,3;47,99
0;-1,4;100;3664,17;223489,2;100,35;;0;0;161,1;2574,94;157053,6;45,05;;0;28,9;100;2239,23;136577,7;98,98;;0;0;161,1;1629,7;99400,5;48,31
0;-2,6;100;3668,18;223734,1;100,64;;0;0;159,9;2599,74;158566,7;45,54;;0;30,2;100;2237,14;136450;99,09;;0;0;159,9;1641,36;100111,6;48,58
0;-3,8;100;3654,13;222876,8;100,09;;0;0;158,7;2617,08;159624,2;45,87;;0;31,4;100;2237,29;136459,3;98,95;;0;0;158,7;1645,93;100390,8;48,86
