Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;12,8;100;388295,46;164654,8;100,52;;0;-7,8;100;387529,81;164330,2;99,53;;0;-17;100;389406,49;165126;100,34;;0;17,1;100;388393,22;164696,3;100,33;;0;-17,1;100;389722,53;165260;100,28;;;;;;;;;0;49;100;358235,22;151907,9;92,32
0;11,6;100;388082,85;164564,7;100,44;;0;-6,4;100;388345,68;164676,1;100,13;;0;-21,9;100;388699,11;164826;100,21;;0;21,9;100;388085,53;164565,8;100,03;;0;-21,9;100;389262,56;165064,9;100,13;;;;;;;;;0;48,5;100;361310,29;153211,9;92,9
0;10,5;100;387805,16;164446,9;100,39;;0;-5,2;100;387308,83;164236,5;99,71;;0;-27;100;387003,94;164107,2;99,74;;0;26,9;100;386252,53;163788,5;99,55;;0;-27;100;387573,8;164348,8;99,69;;;;;;;;;0;47,9;100;363660,07;154208,3;93,53
0;9,2;100;387919,06;164495,2;100,31;;0;-4;100;388115,19;164578,4;99,81;;0;-31,9;100;384765;163157,8;99,27;;0;32;100;383087,49;162446,4;98,82;;0;-32,1;100;384726,13;163141,3;98,92;;;;;;;;;0;47,4;100;365352,71;154926,1;94
0;8;100;387561,8;164343,7;100,34;;0;-2,8;100;385604,25;163513,6;99,58;;0;-33;100;384001,98;162834,2;99;;0;33,1;100;381841,23;161917,9;98,6;;0;-33;100;384265,95;162946,1;98,87;;;;;;;;;0;47;100;366764,49;155524,7;94,36
0;6,8;100;387732,96;164416,3;100,36;;0;-1,6;100;388992,14;164950,3;99,94;;0;-34,1;100;383688,98;162701,5;98,88;;0;34,1;100;381144,17;161622,4;98,43;;0;-34,1;100;383751,94;162728,2;98,7;;;;;;;;;0;46,4;100;368128,16;156103;94,7
0;5,6;100;387725,65;164413,2;100,34;;0;-0,3;100;387805,46;164447,1;99,98;;0;-35,1;100;383110,57;162456,2;98,76;;0;35,1;100;380809,23;161480,3;98,23;;0;-35,1;100;382676,38;162272,1;98,46;;;;;;;;;0;46;100;369024,41;156483;94,94
0;4,4;100;387683,6;164395,4;100,25;;0;0,9;100;389805,86;165295,3;100,05;;0;-36,1;100;381831,92;161914;98,42;;0;36;100;380624,41;161402;98,07;;0;-36;100;382121,6;162036,8;98,29;;;;;;;;;0;45,4;100;370215,95;156988,3;95,24
0;3,2;100;386729,07;163990,6;100,11;;0;2,1;100;386885,34;164056,9;99,66;;0;-37,1;100;380847,89;161496,7;98,19;;0;37;100;379386,58;160877,1;97,83;;0;-37;100;381664,3;161842,9;98,16;;;;;;;;;0;45;100;371392,8;157487,3;95,49
0;2;100;386741,72;163996;100,03;;0;3,3;100;386600,13;163935,9;99,51;;0;-38;100;380084,39;161173;98,03;;0;38;100;378515,58;160507,7;97,77;;0;-38;100;380394,82;161304,6;97,91;;;;;;;;;0;44,3;100;372421,79;157923,7;95,78
0;0,8;100;386605,68;163938,3;100,04;;0;4,6;100;388634,87;164798,8;99,7;;0;-39,1;100;379163,55;160782,5;97,83;;0;39,1;100;377597,92;160118,6;97,58;;0;-39;100;379516,59;160932,2;97,69;;;;;;;;;0;44;100;372675,43;158031,2;95,88
0;-0,4;100;386824,53;164031,1;100;;0;5,8;100;388189,62;164610;99,41;;0;-40,1;100;378588,76;160538,8;97,65;;0;40,1;100;377158,05;159932,1;97,35;;0;-40,1;100;378681,88;160578,2;97,4;;;;;;;;;0;43,4;100;373489,89;158376,6;96,15
0;-1,6;100;387489,33;164313;100,21;;0;7;100;387296,89;164231,4;99,58;;0;-41;100;377459,49;160059,9;97,34;;0;41,1;100;375753,8;159336,6;96,98;;0;-41,1;100;377896,99;160245,4;97,23;;;;;;;;;0;42,9;100;374222,49;158687,3;96,32
0;-2,8;100;387292,22;164229,4;100,26;;0;8,2;100;387328,9;164245;99,23;;0;-42,1;100;376125,92;159494,4;96,95;;0;42,1;100;375175,02;159091,2;96,74;;0;-42,1;100;376916,86;159829,8;96,94;;;;;;;;;0;42,4;100;374666,65;158875,6;96,47
0;-4;100;387014,14;164111,5;100,18;;0;9,5;100;387648,27;164380,4;99,9;;0;-43;100;375144,08;159078,1;96,68;;0;43,1;100;374515,9;158811,7;96,57;;0;-42,9;100;375595,87;159269,6;96,66;;;;;;;;;0;41,9;100;375304,1;159145,9;96,57
0;-5,2;100;386488,75;163888,7;100,28;;0;10,6;100;388147,68;164592,2;99,69;;0;-44;100;374049,92;158614,1;96,48;;0;44,1;100;372855,73;158107,7;96,14;;0;-44,1;100;374428,75;158774,7;96,29;;;;;;;;;0;41,4;100;375653,14;159293,9;96,77
0;-6,4;100;387225,93;164201,3;100,32;;0;11,9;100;387911,62;164492,1;99,77;;0;-45,1;100;372374,47;157903,6;96;;0;45;100;371104,76;157365,2;95,68;;0;-44,8;100;372871,28;158114,3;95,94;;;;;;;;;0;41;100;376263,42;159552,7;96,89
0;-7,6;100;388102,51;164573;100,33;;0;13,1;100;389095,42;164994,1;99,85;;0;-46,1;100;370721,2;157202,6;95,55;;0;46;100;368823,46;156397,8;95,12;;0;-46,1;100;371116,06;157370;95,43;;;;;;;;;0;40,5;100;377001,92;159865,9;97,08
0;-8,8;100;388428,02;164711;100,48;;0;14,3;100;387658,97;164384,9;100,04;;0;-47,1;100;368081,66;156083,3;94,85;;0;47;100;365358,56;154928,5;94,32;;0;-47,1;100;368720,3;156354,1;94,84;;;;;;;;;0;40;100;377766,18;160189,9;97,21
0;-10;100;388471,13;164729,3;100,61;;0;15,5;100;388143,09;164590,2;99,77;;0;-48,1;100;365614,95;155037,3;94,14;;0;48,1;100;362456,76;153698,1;93,53;;0;-48,1;100;365983,02;155193,4;94,09;;;;;;;;;0;39,4;100;378202,57;160375;97,29
