Measurement time:; 02/09/2022 18:30:36;;;;
Radiation device:; Clinac3 Accelerator;;;;
Energy:; 6 MeV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;148;1,97;3846,9;2
0;0;146,8;2,04;3982,1;2,02
0;0;145,6;1,93;3770,7;2
0;0;144,4;2,03;3975,1;2,04
0;0;143,2;2,02;3959,9;2,02
0;0;141,9;2;3917,4;2,08
0;0;140,8;2,05;4011,2;2,08
0;0;139,6;2,09;4086,6;2,12
0;0;138,3;2,07;4052,4;2,12
0;0;137,1;2,1;4111,3;2,14
0;0;135,9;2,11;4127,5;2,13
0;0;134,7;2,09;4092,3;2,14
0;0;133,5;2,11;4121,3;2,15
0;0;132,3;2,16;4217;2,16
0;0;131,1;2,14;4175,8;2,19
0;0;129,9;2,15;4196,5;2,22
0;0;128,7;2,24;4381,8;2,25
0;0;127,5;2,23;4357,5;2,26
0;0;126,3;2,19;4285,9;2,26
0;0;125,1;2,3;4505,2;2,31
0;0;123,9;2,3;4488,9;2,32
0;0;122,7;2,24;4387,4;2,32
0;0;121,5;2,35;4604,7;2,36
0;0;120,3;2,35;4594;2,36
0;0;119,1;2,27;4432,2;2,36
0;0;117,9;2,36;4619,1;2,36
0;0;116,7;2,4;4684,6;2,41
0;0;115,5;2,32;4538,5;2,42
0;0;114,3;2,43;4748,3;2,43
0;0;113,1;2,4;4694,2;2,43
0;0;111,9;2,35;4591,3;2,45
0;0;110,7;2,48;4854,8;2,5
0;0;109,5;2,47;4822,5;2,5
0;0;108,3;2,41;4713,9;2,53
0;0;107,1;2,56;5005,3;2,58
0;0;105,9;2,51;4917,9;2,57
0;0;104,7;2,49;4869,2;2,61
0;0;103,5;2,63;5139,6;2,65
0;0;102,3;2,61;5107,1;2,68
0;0;101,1;2,48;4843,1;2,61
0;0;99,9;2,64;5171,2;2,67
0;0;98,7;2,69;5270;2,74
0;0;97,5;2,58;5046;2,72
0;0;96,3;2,71;5305,8;2,75
0;0;95,1;2,77;5425,9;2,83
0;0;93,9;2,68;5242;2,82
0;0;92,7;2,77;5410,4;2,81
0;0;91,5;2,77;5412,3;2,81
0;0;90,2;2,69;5254,2;2,84
0;0;89;2,84;5558,8;2,88
0;0;87,8;2,88;5633;2,93
0;0;86,6;2,84;5556,5;2,99
0;0;85,4;3,03;5931,3;3,07
0;0;84,2;3,2;6248,5;3,26
0;0;83;3,35;6550,2;3,52
0;0;81,8;3,86;7545,1;3,91
0;0;80,6;4,29;8385,2;4,42
0;0;79,4;5,12;10009,9;5,37
0;0;78,2;6,33;12378,5;6,43
0;0;77;7,55;14768,3;7,83
0;0;75,8;9,17;17941,1;9,58
0;0;74,6;11,6;22686,7;11,75
0;0;73,4;13,85;27077,5;14,28
0;0;72,2;16,57;32412,6;17,37
0;0;71;20,12;39355,1;20,55
0;0;69,8;23,48;45925,8;24,31
0;0;68,5;27,64;54053,4;28,49
0;0;67,4;32,25;63076;32,43
0;0;66,1;36,45;71271,4;37,15
0;0;64,9;40,05;78311,4;41,39
0;0;63,7;45,85;89661,9;45,93
0;0;62,5;49,55;96906,9;50,7
0;0;61,3;54,06;105710,8;54,85
0;0;60,1;59,46;116269,9;59,41
0;0;58,9;62,33;121888,3;63,55
0;0;57,7;67,07;131164,9;67,61
0;0;56,5;72,46;141698,3;71,45
0;0;55,3;74,15;145010,6;75,08
0;0;54,1;78,73;153966,3;78,42
0;0;52,9;83,07;162449,4;81,51
0;0;51,7;83,86;163995,1;84,01
0;0;50,5;87,02;170173,2;86,71
0;0;49,3;91,57;179067,1;89,03
0;0;48,1;91,13;178199,5;90,98
0;0;46,9;93,54;182913,5;92,51
0;0;45,7;97,22;190116,1;93,93
0;0;44,5;95,82;187380,4;95,32
0;0;43,2;98,76;193138;96,29
0;0;42;101,17;197850,6;97,31
0;0;40,8;98,29;192215;98,21
0;0;39,6;101,96;199391,9;98,66
0;0;38,4;103,47;202341,9;98,93
0;0;37,2;100,12;195796,3;99,5
0;0;36;103,89;203170,7;99,62
0;0;34,8;104,62;204587;99,75
0;0;33,6;100,57;196664,8;100
0;0;32,4;104,53;204418;99,71
0;0;31,2;104,77;204887;99,73
0;0;30;101;197518,2;99,51
0;0;28,8;104,53;204404,8;99,5
0;0;27,6;104,39;204143;99,31
0;0;26,3;101,36;198213,2;99,18
0;0;25,1;104,43;204213,5;98,91
0;0;23,9;105,03;205387;98,78
0;0;22,7;101,09;197688,8;98,65
0;0;21,5;104,57;204488,5;98,25
0;0;20,3;103,58;202565;97,89
0;0;19,1;101,54;198570,4;97,76
0;0;17,9;103,79;202964,8;97,33
0;0;16,7;105,05;205423,8;97,12
0;0;15,5;100,6;196737,5;97,15
0;0;14,3;103,22;201856,9;96,72
0;0;13,1;103,89;203171;96,5
0;0;11,9;101,4;198284,5;96,25
0;0;10,7;102,16;199775,7;95,68
0;0;9,5;104,32;203997,7;95,58
0;0;8,3;100,19;195924,9;95,06
0;0;7,1;101,1;197696,1;94,64
0;0;5,8;102,42;200290,4;94,04
0;0;4,6;99,33;194253,6;93,42
0;0;3,5;98,99;193578,4;92,38
0;0;2,2;100,3;196150,7;91,21
0;0;1;95,9;187544,8;90,22
0;0;-0,5;98,07;191788,3;89,64
;;;;;
