Measurement time:; 02/08/2022 19:59:54;;;;
Radiation device:; Novalis TB Accelerator;;;;
Energy:; 6 MV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;227,1;177,04;257031;29,43
0;0;225,9;178,76;259515,2;29,68
0;0;224,7;180,3;261760;29,91
0;0;223,5;180,94;262682,2;30,06
0;0;222,2;182,82;265419,4;30,3
0;0;221,1;183,47;266363;30,5
0;0;219,8;185,15;268792,2;30,74
0;0;218,7;186,68;271015,7;30,98
0;0;217,4;187,46;272154,6;31,16
0;0;216,2;189,48;275087,5;31,4
0;0;215;189,97;275801,7;31,58
0;0;213,8;191,8;278453,1;31,88
0;0;212,6;193,91;281513,2;32,16
0;0;211,4;194,68;282629,8;32,34
0;0;210,2;195,62;283996,8;32,55
0;0;209;197,86;287249,9;32,77
0;0;207,8;198,64;288379,7;33,04
0;0;206,6;200,17;290606,7;33,3
0;0;205,4;201,46;292480,6;33,49
0;0;204,2;203,62;295605,8;33,78
0;0;203;204,71;297201,5;33,94
0;0;201,8;205,98;299038,8;34,24
0;0;200,6;207,24;300866;34,51
0;0;199,4;209,61;304311,9;34,79
0;0;198,2;210,61;305756,9;34,94
0;0;197;212,14;307988,8;35,24
0;0;195,7;214,39;311241,5;35,57
0;0;194,6;215,17;312384,6;35,8
0;0;193,3;217,03;315084;36,04
0;0;192,1;218,33;316972;36,29
0;0;191;220,54;320183,6;36,55
0;0;189,7;221,67;321823,2;36,83
0;0;188,6;224,02;325224,6;37,12
0;0;187,3;224,89;326488;37,35
0;0;186,1;226,67;329070,2;37,62
0;0;184,9;227,45;330212,9;37,82
0;0;183,7;230,62;334806,5;38,23
0;0;182,5;231,32;335823,2;38,5
0;0;181,3;233,59;339121,9;38,75
0;0;180,1;235,31;341622,5;39,02
0;0;178,9;236,5;343350,5;39,22
0;0;177,7;238,55;346320,9;39,65
0;0;176,5;240,69;349436,1;39,93
0;0;175,3;242,25;351694,6;40,23
0;0;174,1;243,97;354186,9;40,47
0;0;172,9;245,68;356676,8;40,74
0;0;171,7;247,15;358805,4;41,04
0;0;170,5;249,34;361984,9;41,44
0;0;169,3;251,05;364468,5;41,68
0;0;168,1;253,1;367445,2;41,97
0;0;166,8;254,38;369300,7;42,27
0;0;165,6;256,39;372222,3;42,61
0;0;164,4;259,19;376287,6;42,95
0;0;163,2;260,31;377908;43,18
0;0;162;262,37;380908,2;43,56
0;0;160,8;264,37;383812,7;43,83
0;0;159,6;265,68;385710,6;44,23
0;0;158,4;268,6;389956,2;44,55
0;0;157,2;269,92;391865,2;44,84
0;0;156;272,14;395091,5;45,17
0;0;154,8;274,02;397821,9;45,48
0;0;153,6;275,81;400412,8;45,85
0;0;152,4;278,22;403909;46,17
