 Crossline; Ratio;;Inline; Ratio;; Depth; Ratio
-5,5;98,86;;5,6;98,81;;;
-5,6;98,89;;5,6;98,83;;;
-5,7;98,96;;5,6;98,67;;;
-5,7;98,88;;5,8;98,78;;;
-5,9;98,71;;5,8;98,72;;;
-5,9;98,9;;6;98,59;;;
-6,1;98,86;;6;98,59;;;
-6,2;98,65;;6,2;98,56;;;
-6,4;98,62;;6,2;98,57;;;
-6,4;98,6;;6,4;98,52;;;
-6,4;98,48;;6,4;98,45;;;
-6,6;98,66;;6,5;98,43;;;
-6,7;98,61;;6,7;98,51;;;
-6,9;98,55;;6,8;98,44;;;
-6,9;98,6;;6,8;98,16;;;
-6,9;98,37;;6,9;98,09;;;
-7,1;98,44;;7,1;98,19;;;
-7,2;98,41;;7,1;98,07;;;
-7,3;98,47;;7,3;98,08;;;
-7,4;98,35;;7,3;98,17;;;
-7,4;98,44;;7,5;97,84;;;
-7,6;98,29;;7,6;98,09;;;
-7,7;98,04;;7,6;97,86;;;
-7,8;97,99;;7,8;97,86;;;
-7,8;98,06;;7,8;97,83;;;
-8,1;97,95;;7,9;97,64;;;
-8,1;97,94;;8,1;97,56;;;
-8,1;97,87;;8,1;97,64;;;
-8,2;97,8;;8,3;97,46;;;
-8,3;97,67;;8,3;97,42;;;
-8,5;97,89;;8,5;97,29;;;
-8,5;97,77;;8,5;97,38;;;
-8,8;97,51;;8,7;97,22;;;
-8,8;97,56;;8,8;97,1;;;
-8,9;97,59;;8,9;97,09;;;
-8,9;97,45;;9;96,82;;;
-9,2;97,27;;9;96,74;;;
-9,2;97,3;;9,2;96,76;;;
-9,3;97,18;;9,3;96,57;;;
-9,5;97,01;;9,3;96,68;;;
-9,5;96,96;;9,5;96,36;;;
-9,7;96,81;;9,6;96,44;;;
-9,7;96,82;;9,7;96,24;;;
-9,8;96,7;;9,7;96,12;;;
-9,9;96,64;;9,9;96,03;;;
-10;96,52;;10,1;95,75;;;
-10,1;96,46;;10,1;95,6;;;
-10,2;96,31;;10,2;95,63;;;
-10,3;96,32;;10,2;95,35;;;
-10,5;96,16;;10,4;95,32;;;
-10,5;96,1;;10,5;95,17;;;
-10,6;96,03;;10,6;94,83;;;
-10,6;95,91;;10,7;94,53;;;
-10,7;95,79;;10,7;94,58;;;
-10,8;95,49;;10,8;94,4;;;
-10,9;95,35;;11;94,09;;;
-11;95,5;;11;93,89;;;
-11,3;94,91;;11,1;93,54;;;
-11,3;94,95;;11,3;93,36;;;
-11,4;94,58;;11,4;92,63;;;
-11,4;94,65;;11,5;92,71;;;
-11,5;94,38;;11,6;92,53;;;
-11,6;94,21;;11,6;92,17;;;
-11,9;93,42;;11,8;91,93;;;
-11,9;93,61;;11,9;91,17;;;
-11,9;93,73;;12;91;;;
-12;93,2;;12;90,66;;;
-12,1;93,16;;12,2;89,73;;;
-12,4;92,48;;12,2;89,53;;;
-12,4;92,44;;12,3;88,89;;;
-12,5;92,02;;12,4;88,26;;;
-12,5;92,1;;12,5;87,5;;;
-12,7;91,3;;12,7;86,38;;;
-12,8;90,59;;12,7;85,58;;;
-12,9;90,64;;12,8;84,94;;;
-12,9;90,45;;13;83,52;;;
-13,1;89,25;;13;82,68;;;
-13,1;89,25;;13,1;81,5;;;
-13,2;88,56;;13,3;79,75;;;
-13,5;86,96;;13,4;77,42;;;
-13,4;86,9;;13,4;76,82;;;
-13,5;86,07;;13,5;74,88;;;
-13,8;83,44;;13,7;70,84;;;
-13,8;83,34;;13,8;70,71;;;
-13,8;83,15;;13,9;67,62;;;
-14;80,92;;13,9;66,96;;;
-14,1;78,78;;14,1;62,24;;;
-14,1;78,3;;14,1;61,49;;;
-14,3;74,86;;14,2;59,47;;;
-14,3;74,96;;14,3;56,79;;;
-14,5;70,7;;14,5;51,4;;;
