0,0; 0,0; 168,5; 7840,32; 66227,9; 34,50
0,0; 0,0; 169,5; 7786,20; 65770,7; 34,26
0,0; 0,0; 170,5; 7732,26; 65315,1; 34,02
0,0; 0,0; 171,5; 7678,58; 64861,6; 33,79
0,0; 0,0; 172,5; 7624,89; 64408,1; 33,55
0,0; 0,0; 173,5; 7571,20; 63954,6; 33,32
0,0; 0,0; 174,5; 7517,51; 63501,1; 33,09
0,0; 0,0; 175,5; 7465,99; 63065,9; 32,86
0,0; 0,0; 176,5; 7417,50; 62656,3; 32,65
0,0; 0,0; 177,5; 7369,02; 62246,8; 32,43
0,0; 0,0; 178,5; 7320,53; 61837,2; 32,22
0,0; 0,0; 179,5; 7272,05; 61427,6; 32,00
0,0; 0,0; 180,5; 7222,28; 61007,3; 31,78
0,0; 0,0; 181,5; 7170,83; 60572,6; 31,55
0,0; 0,0; 182,5; 7119,37; 60138,0; 31,33
0,0; 0,0; 183,5; 7067,92; 59703,3; 31,10
0,0; 0,0; 184,5; 7016,46; 59268,7; 30,87
0,0; 0,0; 185,5; 6968,82; 58866,3; 30,66
0,0; 0,0; 186,5; 6925,88; 58503,5; 30,47
0,0; 0,0; 187,5; 6882,94; 58140,8; 30,28
0,0; 0,0; 188,5; 6840,00; 57778,1; 30,09
0,0; 0,0; 189,5; 6797,06; 57415,4; 29,90
0,0; 0,0; 190,5; 6754,03; 57051,9; 29,72
0,0; 0,0; 191,5; 6710,88; 56687,4; 29,53
0,0; 0,0; 192,5; 6667,73; 56322,9; 29,34
0,0; 0,0; 193,5; 6624,58; 55958,4; 29,15
0,0; 0,0; 194,5; 6581,43; 55593,9; 28,96
0,0; 0,0; 195,5; 6537,46; 55222,5; 28,76
0,0; 0,0; 196,5; 6492,54; 54843,1; 28,57
0,0; 0,0; 197,5; 6447,63; 54463,7; 28,37
0,0; 0,0; 198,5; 6402,72; 54084,4; 28,17
0,0; 0,0; 199,5; 6357,81; 53705,0; 27,97
0,0; 0,0; 200,5; 6314,91; 53342,6; 27,78
0,0; 0,0; 201,5; 6274,30; 52999,6; 27,61
0,0; 0,0; 202,5; 6233,70; 52656,6; 27,43
0,0; 0,0; 203,5; 6193,09; 52313,6; 27,25
0,0; 0,0; 204,5; 6152,48; 51970,6; 27,08
0,0; 0,0; 205,5; 6111,02; 51620,3; 26,90
0,0; 0,0; 206,5; 6068,29; 51259,4; 26,70
0,0; 0,0; 207,5; 6025,56; 50898,5; 26,51
0,0; 0,0; 208,5; 5982,83; 50537,5; 26,32
0,0; 0,0; 209,5; 5940,10; 50176,6; 26,13
0,0; 0,0; 210,5; 5901,04; 49846,7; 25,96
0,0; 0,0; 211,5; 5866,24; 49552,7; 25,81
0,0; 0,0; 212,5; 5831,44; 49258,7; 25,65
0,0; 0,0; 213,5; 5796,64; 48964,7; 25,50
0,0; 0,0; 214,5; 5761,83; 48670,7; 25,35
0,0; 0,0; 215,5; 5725,57; 48364,4; 25,19
0,0; 0,0; 216,5; 5687,53; 48043,1; 25,02
0,0; 0,0; 217,5; 5649,49; 47721,8; 24,85
0,0; 0,0; 218,5; 5611,45; 47400,4; 24,68
0,0; 0,0; 219,5; 5573,41; 47079,1; 24,51
0,0; 0,0; 220,5; 5536,04; 46763,4; 24,34
0,0; 0,0; 221,5; 5499,53; 46455,0; 24,19
0,0; 0,0; 222,5; 5463,01; 46146,6; 24,03
0,0; 0,0; 223,5; 5426,50; 45838,1; 23,87
0,0; 0,0; 224,5; 5389,99; 45529,7; 23,72
0,0; 0,0; 225,5; 5355,04; 45234,5; 23,57
0,0; 0,0; 226,5; 5322,08; 44956,1; 23,42
0,0; 0,0; 227,5; 5289,12; 44677,7; 23,27
0,0; 0,0; 228,5; 5256,16; 44399,3; 23,13
0,0; 0,0; 229,5; 5223,20; 44120,8; 22,98
0,0; 0,0; 230,5; 5188,64; 43828,9; 22,83
0,0; 0,0; 231,5; 5152,24; 43521,4; 22,67
0,0; 0,0; 232,5; 5115,84; 43214,0; 22,51
0,0; 0,0; 233,5; 5079,44; 42906,5; 22,35
0,0; 0,0; 234,5; 5043,04; 42599,0; 22,18
0,0; 0,0; 235,5; 5009,29; 42313,9; 22,04
0,0; 0,0; 236,5; 4978,94; 42057,6; 21,90
0,0; 0,0; 237,5; 4948,59; 41801,2; 21,77
0,0; 0,0; 238,5; 4918,24; 41544,8; 21,63
0,0; 0,0; 239,5; 4887,88; 41288,4; 21,50
0,0; 0,0; 240,5; 4857,17; 41028,9; 21,36
0,0; 0,0; 241,5; 4826,03; 40765,9; 21,22
0,0; 0,0; 242,5; 4794,89; 40502,9; 21,09
0,0; 0,0; 243,5; 4763,75; 40239,8; 20,95
0,0; 0,0; 244,5; 4732,61; 39976,8; 20,81
0,0; 0,0; 245,5; 4702,01; 39718,3; 20,68
0,0; 0,0; 246,5; 4672,05; 39465,2; 20,55
0,0; 0,0; 247,5; 4642,10; 39212,2; 20,42
